path,text_hash,label,nll_small,nll_large,score,pred,src,kind
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\logprobs\467-davinci.txt,54e6c932a865b658c399ce5d7e981663bdd125a9,0,3.855817,3.771901,0.083916,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_writing\12.txt,d2ccab85a2a4bb774b419ca31e38ffb6284f31c0,1,3.743966,2.883526,0.860441,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\claude\83.txt,c47646008ae205136a0592396ff777bfcbd147f7,1,3.680734,3.038532,0.642202,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_prompt1\logprobs\981-ada.txt,539a08065abe9484aa3bacfa27055eaa76041085,1,3.891604,3.821404,0.070200,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_writing\logprobs\990-davinci.txt,fab98f3d87437b9373a4cbd1ed672a8a908a992e,1,4.004685,3.910320,0.094365,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_semantic\641.txt,745384d790cf9d32c7886bbc1da4c41f0a414143,1,3.287500,2.536250,0.751250,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\logprobs\361-ada.txt,4af00800d7853c49ca3e6275377bc97286a301a2,0,4.028407,3.924760,0.103647,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_prompt2\logprobs\906-davinci.txt,9996304d3870b81d24fc47d8c4c6921c46a2c7b3,1,3.997727,3.889633,0.108094,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\1.txt,7c378d39926b860f8563593accaa76f6106c327f,0,4.134831,3.721910,0.412921,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\logprobs\816-ada.txt,580f13d7c1715279da16a305e091c31368fbe289,0,3.930895,3.855730,0.075165,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_prompt1\logprobs\600-davinci.txt,116aea3df109cf3f90af538e960d6a28c4eac0a5,1,4.005430,3.908545,0.096885,1,GB-wp,ai
