path,text_hash,label,nll_small,nll_large,score,pred,src,kind
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\logprobs\467-davinci.txt,54e6c932a865b658c399ce5d7e981663bdd125a9,0,3.583671,3.475659,0.108012,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_writing\12.txt,d2ccab85a2a4bb774b419ca31e38ffb6284f31c0,1,3.519494,2.741834,0.777661,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\claude\83.txt,c47646008ae205136a0592396ff777bfcbd147f7,1,3.566728,2.915905,0.650823,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_prompt1\logprobs\981-ada.txt,539a08065abe9484aa3bacfa27055eaa76041085,1,3.632058,3.505063,0.126995,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_writing\logprobs\990-davinci.txt,fab98f3d87437b9373a4cbd1ed672a8a908a992e,1,3.755733,3.617067,0.138667,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_semantic\641.txt,745384d790cf9d32c7886bbc1da4c41f0a414143,1,3.119289,2.46066,0.658629,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\logprobs\361-ada.txt,4af00800d7853c49ca3e6275377bc97286a301a2,0,3.697132,3.573231,0.123901,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_prompt2\logprobs\906-davinci.txt,9996304d3870b81d24fc47d8c4c6921c46a2c7b3,1,3.715723,3.587421,0.128302,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\1.txt,7c378d39926b860f8563593accaa76f6106c327f,0,4.045262,3.711457,0.333805,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\logprobs\816-ada.txt,580f13d7c1715279da16a305e091c31368fbe289,0,3.668222,3.561731,0.106491,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_prompt1\logprobs\600-davinci.txt,116aea3df109cf3f90af538e960d6a28c4eac0a5,1,3.727558,3.588487,0.139071,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt\logprobs\11-davinci.txt,fc9e02964b9e9ad7b0aeeb480b91c25844cb5487,1,3.685515,3.566744,0.118771,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt\logprobs\681-davinci.txt,e96cfabcdf99c54ea113107fc3e8d14f7ce9323b,1,3.744914,3.602667,0.142247,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt_semantic\819.txt,c5e6d8e3fdcd0090e4e0a4c3aa59016b386ffaa0,1,3.242762,2.523385,0.719376,1,GB-wp,ai
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\logprobs\447-ada.txt,abf2de7c9534bedd3367342cfd81d8a291937aae,0,3.582881,3.475988,0.106894,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\human\logprobs\939-ada.txt,2b3f8dc09b30a7b74d269fbf96e0068c0d0bcab4,0,3.565736,3.44432,0.121415,1,GB-wp,human
C:\Users\kucem\PraktikumProject\nlp_project\repos\ghostbuster\data\wp\gpt\logprobs\172-davinci.txt,fa19e09577c9e30211d52fd2d73d53e0193b5082,1,3.730644,3.592814,0.13783,1,GB-wp,ai
